Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Is Anomaly,Color
ISSUE-0264,KEY-0264,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,In Progress,Reporter 1,Assignee 10,2023-09-21 21:34:00,2025-11-19 04:52:05.816519,10,7,High,Legal,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,3519.9203744648644,KPI,User_37,2023-09-22 18:54:00,data_modification,Unknown,EU,1505,10,6.751260323463172,0.20325921259873272,36.38568491863231,10911.85544875594,4.5,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0265,KEY-0265,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,Closed,Reporter 2,Assignee 10,2023-09-22 19:25:00,2023-09-28 19:25:00.000000,6,6,High,Operations,Steps to resolve Increased Exposure due to Insufficient Data Encryption,8297.949862659434,KRI,User_24,2023-09-23 01:29:00,data_modification,CANADA,AU,1546,13,7.335204006224769,95.6855109164509,26.382954120890687,11754.310675693803,4.300000000000001,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0266,KEY-0266,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Open,Reporter 3,Assignee 13,2023-09-23 16:30:00,2025-12-15 04:52:05.816519,22,10,Critical,Legal,Steps to resolve Weak Cloud Storage Access Controls,14771.04773344285,KRI,User_80,2023-09-23 21:05:00,data_modification,USA,USA,2177,9,5.05085671946071,25.198978230371296,58.413878898319,16486.933095276607,7.4,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0267,KEY-0267,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,Open,Reporter 2,Assignee 9,2023-09-24 05:05:00,2025-10-29 04:52:05.816519,14,9,Critical,Sales,Steps to resolve Missing or Inaccurate Asset Records,11560.286762778227,KPI,User_99,2023-09-24 18:36:00,data_modification,UK,Unknown,280,1,3.0677148233390565,12.823744329036051,11.188571685971837,4911.655666517634,5.45,Medium,Routine Monitoring,0,Yellow
ISSUE-0268,KEY-0268,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Closed,Reporter 7,Assignee 8,2023-09-25 07:41:00,2023-10-07 07:41:00.000000,12,10,Critical,HR,Steps to resolve Inconsistent Review of Security Policies,17270.49213451903,KPI,User_52,2023-09-25 11:17:00,data_modification,CN,UK,261,9,4.525623744658191,6.500939372657966,19.242579342811972,7169.720368446629,7.15,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0269,KEY-0269,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 10,Assignee 7,2023-09-26 23:28:00,2023-10-04 23:28:00.000000,8,3,Low,Operations,Steps to resolve Incomplete Risk Management Framework,8851.330392965381,KPI,User_8,2023-09-27 00:50:00,login,FR,JP,235,2,5.561698169160932,0.3292971566769575,49.42779029729971,4291.574875539478,3.15,Low,Log for Reference,0,Green-Yellow
ISSUE-0270,KEY-0270,Weak Authentication Protocols,1,Access Control,Medium,In Progress,Reporter 3,Assignee 11,2023-09-27 17:48:00,2026-03-08 04:52:05.816519,12,10,Critical,Legal,Steps to resolve Weak Authentication Protocols,4439.277127811393,KPI,User_90,2023-09-28 17:44:00,login,Unknown,DE,272,1,3.3415892460171452,2.7133114062998978,22.636433668528987,5697.794262168396,5.65,Medium,Routine Monitoring,0,Yellow
ISSUE-0271,KEY-0271,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Closed,Reporter 7,Assignee 6,2023-09-28 07:51:00,2023-10-06 07:51:00.000000,8,10,Critical,External Contractors,Steps to resolve Detected Malware Infiltration in Internal Systems,6562.8435442431255,KRI,User_25,2023-09-29 05:12:00,login,IN,DE,167,1,3.1889791241058854,0.6922071524706779,11.593823567342337,5521.76561864486,4.9,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0272,KEY-0272,Incomplete Risk Management Framework,1,Risk Management Maturity,High,Resolved,Reporter 2,Assignee 5,2023-09-29 19:30:00,2023-10-10 19:30:00.000000,11,10,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,8236.039880886812,KPI,User_24,2023-09-30 03:53:00,login,CANADA,USA,27,2,5.880754229939065,0.5815860012820804,26.28866223204262,1954.2074199837875,6.5,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0273,KEY-0273,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Open,Reporter 2,Assignee 13,2023-09-30 09:46:00,2026-03-18 04:52:05.816519,20,10,Critical,External Contractors,Steps to resolve Inconsistent Review of Security Policies,15090.86519873404,KPI,User_63,2023-09-30 22:00:00,data_modification,Unknown,CANADA,524,6,4.477797315185796,5.4868157544798635,35.34628379268028,5581.158633043395,7.000000000000001,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0274,KEY-0274,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,In Progress,Reporter 1,Assignee 13,2023-10-01 13:32:00,2026-01-14 04:52:05.816519,10,5,Medium,External Contractors,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,5819.372035339418,KPI,User_4,2023-10-01 22:43:00,data_modification,CANADA,EU,368,6,2.252397180696705,2.003919112240186,15.228330660542818,5675.317129586036,3.15,Low,No Action Needed,0,Green
ISSUE-0275,KEY-0275,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Resolved,Reporter 3,Assignee 3,2023-10-02 22:07:00,2023-10-11 22:07:00.000000,9,10,Critical,C-Suite Executives,Steps to resolve Detected Malware Infiltration in Internal Systems,53678.162993267135,KRI,User_12,2023-10-03 15:45:00,data_modification,UK,JP,748,1,2.0348879798666397,1.3007669579876069,60.14705496445627,8039.959554235199,7.099999999999999,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0276,KEY-0276,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,In Progress,Reporter 1,Assignee 11,2023-10-03 22:42:00,2025-12-13 04:52:05.816519,29,10,Critical,Operations,Steps to resolve Missing or Inaccurate Asset Records,16390.54736517948,KPI,User_51,2023-10-04 12:01:00,data_modification,IN,EU,480,5,11.483470219430558,0.3275292330115372,34.8110837707806,6792.0674010097855,6.6499999999999995,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0277,KEY-0277,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Open,Reporter 6,Assignee 2,2023-10-04 11:15:00,2026-01-14 04:52:05.816519,8,2,Low,C-Suite Executives,Steps to resolve High-Volume Distributed Denial-of-Service Attack,6153.914823687119,KRI,User_69,2023-10-05 01:47:00,login,AU,CANADA,309,1,12.461490104347309,0.33058784785231066,19.323184743578963,5801.183749011053,2.2,Low,No Action Needed,0,Green
ISSUE-0278,KEY-0278,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Open,Reporter 7,Assignee 2,2023-10-05 03:51:00,2026-02-22 04:52:05.816519,10,10,Critical,Operations,Steps to resolve Access by Unauthorized Personnel Detected,14981.018728778032,KRI,User_71,2023-10-05 22:09:00,data_modification,Unknown,CN,309,9,10.13744203931498,31.10228192684828,39.72874469009689,4736.397393025378,5.1000000000000005,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0279,KEY-0279,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Low,Resolved,Reporter 7,Assignee 7,2023-10-06 06:18:00,2023-10-13 06:18:00.000000,7,3,Low,External Contractors,Steps to resolve Missing or Inaccurate Asset Records,100.0,KPI,User_97,2023-10-06 06:22:00,file_access,Unknown,AU,533,6,1.8916668779351526,1.6240406779099512,35.53570891238741,6482.044057612951,2.2500000000000004,Low,No Action Needed,0,Green
ISSUE-0280,KEY-0280,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Resolved,Reporter 9,Assignee 11,2023-10-08 00:34:00,2023-10-15 00:34:00.000000,7,10,Critical,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,4708.951476672633,KRI,User_51,2023-10-08 12:47:00,file_access,CANADA,FR,376,5,9.076962104743,12.400899691959603,22.928928839967355,4052.2271528673805,6.3,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0281,KEY-0281,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,In Progress,Reporter 1,Assignee 12,2023-10-08 08:50:00,2026-01-08 04:52:05.816519,16,10,Critical,C-Suite Executives,Steps to resolve Delayed Patching of Known Vulnerabilities,16189.277147086092,KPI,User_93,2023-10-09 01:16:00,login,JP,JP,300,1,13.891790481588849,0.1,43.58162926558418,5197.792214696512,6.5,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0282,KEY-0282,Weak Authentication Protocols,1,Access Control,Critical,In Progress,Reporter 3,Assignee 8,2023-10-09 00:08:00,2025-12-12 04:52:05.816519,20,10,Critical,IT,Steps to resolve Weak Authentication Protocols,25957.60007116155,KPI,User_53,2023-10-09 04:35:00,data_modification,EU,JP,2435,10,3.8139917373339847,2.860630113542074,35.51150187523112,15836.028954968413,7.300000000000001,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0283,KEY-0283,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,In Progress,Reporter 6,Assignee 10,2023-10-10 23:54:00,2025-12-11 04:52:05.816519,5,9,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,6205.969450658925,KRI,User_66,2023-10-11 04:55:00,login,FR,USA,262,2,7.03420103524744,0.1,43.17518097546109,5985.786132852861,4.6,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0284,KEY-0284,Inadequate Firewall Configurations,1,Network Security,High,Resolved,Reporter 2,Assignee 2,2023-10-11 00:51:00,2023-10-19 00:51:00.000000,8,10,Critical,Legal,Steps to resolve Inadequate Firewall Configurations,11295.120180603004,KPI,User_74,2023-10-11 06:55:00,login,FR,USA,316,1,2.0194011132246614,0.29993858853222605,25.421774152950924,5290.741603917267,6.3,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0285,KEY-0285,Outdated Operating System Components,1,System Vulnerability,Medium,Resolved,Reporter 3,Assignee 2,2023-10-12 23:57:00,2023-10-16 23:57:00.000000,4,10,Critical,HR,Steps to resolve Outdated Operating System Components,6262.751881967689,KPI,User_40,2023-10-13 19:14:00,file_access,AU,DE,28,12,3.997042644637425,7.964129031416375,47.0147455027978,5331.541545502469,5.65,Medium,Routine Monitoring,0,Yellow
ISSUE-0286,KEY-0286,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,In Progress,Reporter 4,Assignee 2,2023-10-14 00:32:00,2026-01-18 04:52:05.816519,19,7,High,Operations,Steps to resolve Access by Unauthorized Personnel Detected,16116.210843692494,KRI,User_79,2023-10-14 09:10:00,file_access,EU,EU,119,12,9.408143937734618,35.61958515800652,36.404481423905125,3408.149878774996,4.3,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0287,KEY-0287,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Open,Reporter 5,Assignee 5,2023-10-14 21:17:00,2025-12-09 04:52:05.816519,17,10,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,9989.56295543635,KPI,User_62,2023-10-15 14:51:00,login,DE,AU,458,1,6.590050194735877,0.5224898503115063,29.35756402673582,6498.432608161678,5.8999999999999995,Medium,Routine Monitoring,0,Yellow
ISSUE-0288,KEY-0288,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Resolved,Reporter 5,Assignee 13,2023-10-15 01:45:00,2023-10-19 01:45:00.000000,4,6,High,IT,Steps to resolve Inconsistent Review of Security Policies,5055.723787370703,KPI,User_51,2023-10-15 21:55:00,file_access,DE,DE,1216,12,10.27331124815792,16.36544939762156,39.775779739650254,9977.779176451124,4.8,Medium,Routine Monitoring,0,Yellow
ISSUE-0289,KEY-0289,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,In Progress,Reporter 10,Assignee 3,2023-10-16 13:18:00,2026-01-13 04:52:05.816519,9,6,High,Sales,Steps to resolve Increased Exposure due to Insufficient Data Encryption,8116.275065831679,KRI,User_30,2023-10-17 07:43:00,file_access,JP,USA,300,3,7.616847799886985,2.750472647119634,20.949309877034388,6766.534714417145,4.05,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0290,KEY-0290,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Open,Reporter 3,Assignee 3,2023-10-17 20:43:00,2026-02-22 04:52:05.816519,18,10,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,20811.98480779403,KRI,User_54,2023-10-18 03:03:00,data_modification,DE,CN,68,6,5.2147839175411494,19.388164922354115,22.618481392424577,3330.714279882459,5.1000000000000005,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0291,KEY-0291,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,In Progress,Reporter 7,Assignee 2,2023-10-18 15:47:00,2025-10-30 04:52:05.816519,7,8,High,Finance,Steps to resolve Insufficient Coverage in Annual Risk Assessment,4438.383378402144,KPI,User_46,2023-10-19 06:07:00,login,IN,IN,90,1,3.0749375163996695,0.581705524442627,11.609498409777903,6565.06153533267,4.1499999999999995,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0292,KEY-0292,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Resolved,Reporter 9,Assignee 18,2023-10-19 18:13:00,2023-10-26 18:13:00.000000,7,5,Medium,HR,Steps to resolve Non-Compliance with Data Protection Regulations,7269.541345604972,KRI,User_58,2023-10-19 19:25:00,login,AU,AU,245,1,6.938968431075805,0.3333533474002522,35.42470619076884,4262.611038802177,3.8,Low,Log for Reference,0,Green-Yellow
ISSUE-0293,KEY-0293,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Closed,Reporter 7,Assignee 19,2023-10-20 23:10:00,2023-10-26 23:10:00.000000,6,10,Critical,External Contractors,Steps to resolve Access by Unauthorized Personnel Detected,23347.279300526512,KRI,User_47,2023-10-21 01:04:00,login,IN,CN,58,1,3.119639149354017,1.4230669922724908,40.95049814333877,2550.392957860061,6.2,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0294,KEY-0294,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Medium,Resolved,Reporter 6,Assignee 16,2023-10-22 04:27:00,2023-10-26 04:27:00.000000,4,10,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,9829.211213242183,KPI,User_16,2023-10-22 22:36:00,data_modification,AU,JP,1168,13,8.03552189056074,8.520098734944392,32.19681175218766,9497.755417595336,5.8999999999999995,Medium,Routine Monitoring,0,Yellow
ISSUE-0295,KEY-0295,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Resolved,Reporter 6,Assignee 5,2023-10-22 05:47:00,2023-10-31 05:47:00.000000,9,10,Critical,Finance,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,14820.730753514112,KPI,User_40,2023-10-22 20:55:00,file_access,EU,CANADA,743,14,6.553049591906979,10.792621808311045,1.0,8697.776266766818,6.85,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0296,KEY-0296,Outdated Operating System Components,1,System Vulnerability,Medium,Open,Reporter 2,Assignee 6,2023-10-23 07:49:00,2026-03-03 04:52:05.816519,21,6,High,IT,Steps to resolve Outdated Operating System Components,7387.625629600223,KPI,User_20,2023-10-23 18:22:00,data_modification,UK,CN,1121,15,5.469489462288428,16.29549602751299,33.09437946170842,11310.103459591013,5.15,Medium,Routine Monitoring,0,Yellow
ISSUE-0297,KEY-0297,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,Resolved,Reporter 8,Assignee 2,2023-10-24 05:24:00,2023-11-08 05:24:00.000000,15,9,Critical,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,16545.068845295536,KRI,User_79,2023-10-24 11:05:00,data_modification,AU,DE,1648,12,7.261738053646253,1.161922990245631,47.13332694989871,10389.324332465123,6.8,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0298,KEY-0298,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,In Progress,Reporter 2,Assignee 19,2023-10-25 12:12:00,2026-02-20 04:52:05.816519,11,10,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,12117.487270749305,KRI,User_85,2023-10-26 02:30:00,data_modification,USA,IN,928,15,9.118119904231868,24.499481163371296,25.48873597330933,7676.784272139503,6.1,Medium,Routine Monitoring,0,Yellow
ISSUE-0299,KEY-0299,Inadequate Firewall Configurations,1,Network Security,Critical,Resolved,Reporter 2,Assignee 15,2023-10-26 18:16:00,2023-11-10 18:16:00.000000,15,10,Critical,C-Suite Executives,Steps to resolve Inadequate Firewall Configurations,22451.18424038818,KPI,User_34,2023-10-27 01:05:00,data_modification,UK,FR,703,5,13.220900327939525,44.73145221726313,34.72754650989178,8665.545790880515,7.1499999999999995,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0300,KEY-0300,Insufficient Access Control Measures,1,Control Effectiveness,Medium,In Progress,Reporter 9,Assignee 14,2023-10-27 15:23:00,2025-11-11 04:52:05.816519,25,9,Critical,IT,Steps to resolve Insufficient Access Control Measures,9146.849635111079,KPI,User_6,2023-10-27 20:36:00,file_access,USA,Unknown,3144,4,6.78216843851226,1.5700356551588242,42.43875144185095,19812.617262592757,5.85,Medium,Routine Monitoring,0,Yellow
ISSUE-0301,KEY-0301,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Closed,Reporter 1,Assignee 7,2023-10-28 13:29:00,2023-11-15 13:29:00.000000,18,10,Critical,C-Suite Executives,Steps to resolve Inconsistent Review of Security Policies,23606.67331869664,KPI,User_88,2023-10-28 22:02:00,data_modification,IN,CANADA,2281,11,8.38430744853052,59.276992400600975,30.19163134330872,15533.876489728806,7.6000000000000005,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0302,KEY-0302,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Open,Reporter 9,Assignee 4,2023-10-29 20:30:00,2026-01-10 04:52:05.816519,20,10,Critical,Sales,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,27807.913069017428,KPI,User_44,2023-10-30 02:56:00,data_modification,EU,EU,2406,17,6.16930093599796,4.902914168250653,33.20234899252555,15127.962551756638,7.5,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0303,KEY-0303,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Closed,Reporter 1,Assignee 9,2023-10-30 12:10:00,2023-11-18 12:10:00.000000,19,10,Critical,IT,Steps to resolve Unauthorized Access Leading to Data Exposure,46078.87912494367,KRI,User_26,2023-10-31 00:38:00,file_access,CN,AU,872,15,12.222363834704769,0.9073774796593231,41.39039430814823,7638.147237047168,6.85,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0304,KEY-0304,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Closed,Reporter 4,Assignee 18,2023-10-31 05:14:00,2023-11-11 05:14:00.000000,11,10,Critical,HR,Steps to resolve Weak Cloud Storage Access Controls,16262.591991034013,KRI,User_82,2023-10-31 08:26:00,data_modification,CN,AU,414,6,4.6500161351631615,23.678119619299398,31.4676857365579,5479.138587237487,7.000000000000001,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0305,KEY-0305,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,In Progress,Reporter 9,Assignee 3,2023-11-01 11:20:00,2026-02-08 04:52:05.816519,16,10,Critical,Sales,Steps to resolve Access by Unauthorized Personnel Detected,39309.145766383575,KRI,User_24,2023-11-01 17:00:00,login,CN,IN,373,2,7.375003062928318,0.9251068216807614,27.87215516861146,6092.761421863246,6.6499999999999995,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0306,KEY-0306,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Resolved,Reporter 6,Assignee 11,2023-11-02 09:30:00,2023-11-30 09:30:00.000000,28,10,Critical,C-Suite Executives,Steps to resolve Insufficient Access Control Measures,24583.407797633903,KPI,User_83,2023-11-03 09:27:00,login,DE,DE,53,1,7.579450327951359,1.8525650196806434,45.4381367801799,2823.5880836362344,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0307,KEY-0307,Insufficient Access Control Measures,1,Control Effectiveness,High,Resolved,Reporter 9,Assignee 1,2023-11-03 15:08:00,2023-11-11 15:08:00.000000,8,9,Critical,External Contractors,Steps to resolve Insufficient Access Control Measures,6168.383635344059,KPI,User_38,2023-11-03 16:06:00,data_modification,UK,Unknown,654,10,3.2601665038703014,59.07979540580882,44.24409350030069,7738.774178437106,6.550000000000001,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0308,KEY-0308,Outdated Operating System Components,1,System Vulnerability,Low,Open,Reporter 1,Assignee 15,2023-11-04 12:16:00,2026-01-23 04:52:05.816519,18,10,Critical,IT,Steps to resolve Outdated Operating System Components,5712.3162158874875,KPI,User_1,2023-11-04 20:20:00,login,CANADA,JP,12,1,8.075575646628527,0.1,24.546449070000563,4662.199509293353,5.0,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0309,KEY-0309,Inadequate Firewall Configurations,1,Network Security,High,Closed,Reporter 9,Assignee 1,2023-11-05 13:49:00,2023-11-13 13:49:00.000000,8,10,Critical,Operations,Steps to resolve Inadequate Firewall Configurations,15039.409895501974,KPI,User_54,2023-11-05 22:18:00,login,CANADA,DE,76,1,5.2147839175411494,0.18248497015596218,35.734293034198586,4127.8262996970425,6.5,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0310,KEY-0310,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Open,Reporter 10,Assignee 19,2023-11-06 10:18:00,2026-03-07 04:52:05.816519,14,10,Critical,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,24238.505106745786,KPI,User_77,2023-11-06 23:58:00,login,AU,CN,42,1,6.296560383724907,0.5759975872522585,47.024129838904344,2527.788031272003,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0311,KEY-0311,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,Closed,Reporter 5,Assignee 6,2023-11-07 02:26:00,2023-11-11 02:26:00.000000,4,10,Critical,Finance,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,6049.846050164526,KPI,User_1,2023-11-07 05:17:00,file_access,EU,EU,430,7,8.3946881245482,22.63221614305458,21.834709833298344,5353.793606791422,5.65,Medium,Routine Monitoring,0,Yellow
ISSUE-0312,KEY-0312,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,Open,Reporter 6,Assignee 19,2023-11-08 02:12:00,2025-12-22 04:52:05.816519,4,9,Critical,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,2141.6341808270054,KRI,User_59,2023-11-08 21:45:00,login,CANADA,EU,190,1,6.531954329816941,1.7772864810350049,44.02258061236229,5667.7976578177595,4.6,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0313,KEY-0313,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,Open,Reporter 9,Assignee 8,2023-11-09 14:49:00,2026-01-26 04:52:05.816519,13,5,Medium,IT,Steps to resolve Increased Exposure due to Insufficient Data Encryption,7156.76181804966,KRI,User_57,2023-11-10 11:13:00,file_access,Unknown,UK,155,15,8.457010896561629,26.345080071283622,15.916780586804236,4711.077723100386,3.45,Low,No Action Needed,0,Green
ISSUE-0314,KEY-0314,Weak Authentication Protocols,1,Access Control,Medium,Resolved,Reporter 2,Assignee 17,2023-11-10 22:42:00,2023-11-14 22:42:00.000000,4,10,Critical,Finance,Steps to resolve Weak Authentication Protocols,8730.19241247385,KPI,User_23,2023-11-11 06:16:00,login,CANADA,FR,319,1,8.38137299519343,1.0789361792350836,33.265090852126576,5324.208272268199,5.55,Medium,Routine Monitoring,0,Yellow
ISSUE-0315,KEY-0315,Outdated Operating System Components,1,System Vulnerability,Medium,Open,Reporter 5,Assignee 11,2023-11-11 20:27:00,2026-02-04 04:52:05.816519,7,5,Medium,Operations,Steps to resolve Outdated Operating System Components,12675.755201349115,KPI,User_94,2023-11-12 04:02:00,file_access,AU,DE,190,15,5.520183055889643,6.9288331551878155,35.69945458484499,6362.291964069799,4.1499999999999995,Medium,Routine Monitoring,0,Yellow
ISSUE-0316,KEY-0316,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Resolved,Reporter 9,Assignee 1,2023-11-12 18:41:00,2023-12-03 18:41:00.000000,21,10,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,27087.24889264574,KRI,User_14,2023-11-13 14:06:00,data_modification,FR,Unknown,553,9,3.4956941957064416,51.061025885224666,28.91982129366628,6757.55752913404,7.250000000000001,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0317,KEY-0317,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 2,Assignee 6,2023-11-13 19:05:00,2023-11-16 19:05:00.000000,3,10,Critical,Operations,Steps to resolve Incomplete Risk Management Framework,13732.238281376582,KPI,User_70,2023-11-14 16:26:00,data_modification,EU,DE,2171,14,5.925008416223607,13.914368607757945,46.61799992077786,15515.342845014451,5.85,Medium,Routine Monitoring,0,Yellow
ISSUE-0318,KEY-0318,Inconsistent Review of Security Policies,1,Management Oversight,Low,Open,Reporter 3,Assignee 11,2023-11-14 17:57:00,2025-12-26 04:52:05.816519,4,2,Low,Finance,Steps to resolve Inconsistent Review of Security Policies,6126.173097311356,KPI,User_7,2023-11-15 03:11:00,login,JP,DE,245,1,4.354938467852838,0.7936748311898502,29.097721052862276,8924.409524433828,2.05,Low,No Action Needed,0,Green
ISSUE-0319,KEY-0319,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Closed,Reporter 10,Assignee 17,2023-11-15 00:39:00,2023-11-22 00:39:00.000000,7,10,Critical,External Contractors,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,4336.621292082292,KRI,User_60,2023-11-15 07:13:00,data_modification,JP,UK,2580,13,5.776843619547586,2.725700543812664,36.78770033501445,17941.71671333416,6.8,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0320,KEY-0320,Inadequate Firewall Configurations,1,Network Security,High,In Progress,Reporter 1,Assignee 8,2023-11-16 01:56:00,2026-01-17 04:52:05.816519,27,10,Critical,Sales,Steps to resolve Inadequate Firewall Configurations,16964.103777953158,KPI,User_76,2023-11-16 18:47:00,login,IN,CN,67,1,8.059495565450712,2.0138815900033005,31.58774540069419,4772.057042202872,6.5,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0321,KEY-0321,Outdated Operating System Components,1,System Vulnerability,Low,In Progress,Reporter 8,Assignee 15,2023-11-17 12:00:00,2026-03-17 04:52:05.816519,6,8,High,Finance,Steps to resolve Outdated Operating System Components,5444.008454842622,KPI,User_74,2023-11-17 17:51:00,file_access,UK,IN,1090,4,2.2870971880312556,5.034187075816369,32.83185657874643,8551.938685713785,4.049999999999999,Medium,Log Activity for Reference,0,Light Yellow
