Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Source
ISSUE-0384,KEY-0384,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,In Progress,Reporter 7,Assignee 10,2023-09-19,2025-04-21 01:51:53.295556,580.0,39.28,Critical,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,815982.5,KRI,User_8,2023-09-19 15:08:00,data_modification,CANADA,CANADA,900.0,26.0,18.0,3690.0,66.29826933889674,4343.0,11.406,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0385,KEY-0385,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,Open,Reporter 4,Assignee 3,2023-10-21,2025-04-21 01:51:53.295556,548.0,122.39,Critical,Finance,Steps to resolve Unauthorized Access Leading to Data Exposure,1166785.0,KRI,User_66,2023-10-21 05:37:00,login,USA,USA,1748.0,30.0,12.0,715.0,60.5773715639162,4912.0,28.778,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0386,KEY-0386,Inadequate Firewall Configurations,1,Network Security,Critical,Open,Reporter 4,Assignee 18,2023-10-30,2025-04-21 01:51:53.295556,539.0,76.69,Critical,Sales,Steps to resolve Inadequate Firewall Configurations,377360.0,KPI,User_75,2023-10-30 22:36:00,data_modification,USA,FR,1374.0,26.0,17.0,908.0,34.84522946870057,6437.0,20.888,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0387,KEY-0387,Weak Authentication Protocols,1,Access Control,Low,Closed,Reporter 9,Assignee 5,2024-09-02,2024-09-08 00:00:00.000000,6.0,33.89,Critical,C-Suite Executives,Steps to resolve Weak Authentication Protocols,682912.5,KPI,User_31,2024-09-02 00:50:00,data_modification,CN,CN,1192.0,26.0,15.0,3560.0,72.44478442586842,3866.0,10.128,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0388,KEY-0388,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Closed,Reporter 4,Assignee 7,2023-01-24,2023-01-26 00:00:00.000000,2.0,40.43,Critical,HR,Steps to resolve Insufficient Access Control Measures,1439576.0,KPI,User_59,2023-01-24 02:03:00,file_access,EU,EU,1117.0,26.0,6.0,6818.0,56.1851398226937,4031.0,13.086,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0389,KEY-0389,Inconsistent Review of Security Policies,1,Management Oversight,High,Resolved,Reporter 7,Assignee 14,2025-03-06,2025-03-09 00:00:00.000000,3.0,53.52,Critical,Legal,Steps to resolve Inconsistent Review of Security Policies,2175884.0,KPI,User_68,2025-03-06 04:49:00,login,DE,DE,900.0,35.0,21.0,536.0,54.404636139300905,6916.0,15.354,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0390,KEY-0390,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Open,Reporter 8,Assignee 1,2023-12-20,2025-04-21 01:51:53.295556,488.0,58.58,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1414305.0,KRI,User_10,2023-12-20 05:50:00,data_modification,Unknown,Unknown,900.0,26.0,15.0,2782.5,65.2988459234669,5397.0,15.266,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0391,KEY-0391,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Open,Reporter 10,Assignee 10,2023-02-19,2025-04-21 01:51:53.295556,792.0,79.67,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,192587.5,KRI,User_35,2023-02-19 04:52:00,login,AU,AU,2192.0,26.0,9.0,4152.5,24.514458662762912,5684.0,19.334,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0392,KEY-0392,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,In Progress,Reporter 1,Assignee 18,2024-05-04,2025-04-21 01:51:53.295556,352.0,19.05,Critical,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,2593412.0,KRI,User_75,2024-05-04 14:47:00,login,EU,Unknown,1283.0,26.0,6.0,7436.0,66.54284877574281,5961.0,8.86,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0393,KEY-0393,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Resolved,Reporter 2,Assignee 9,2023-05-12,2023-05-15 00:00:00.000000,3.0,40.39,Critical,Finance,Steps to resolve Access by Unauthorized Personnel Detected,1422872.0,KRI,User_5,2023-05-12 13:44:00,login,USA,UK,1120.0,28.0,17.0,728.0,75.28632234809851,3771.0,12.728,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0394,KEY-0394,Weak Authentication Protocols,1,Access Control,Medium,Open,Reporter 2,Assignee 16,2024-10-09,2025-04-21 01:51:53.295556,194.0,77.13,Critical,IT,Steps to resolve Weak Authentication Protocols,921827.5,KPI,User_99,2024-10-09 14:59:00,file_access,EU,EU,926.0,26.0,18.0,870.0,28.365292267861182,6047.0,19.726000000000003,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0395,KEY-0395,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Resolved,Reporter 9,Assignee 13,2023-09-13,2023-09-20 00:00:00.000000,7.0,62.59,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,1050950.0,KPI,User_75,2023-09-13 03:42:00,login,CN,CN,900.0,28.0,24.0,2645.0,52.0628430990112,5569.0,17.718,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0396,KEY-0396,Outdated Operating System Components,1,System Vulnerability,Low,Closed,Reporter 1,Assignee 6,2025-03-04,2025-03-08 00:00:00.000000,4.0,2.0,Low,IT,Steps to resolve Outdated Operating System Components,2159730.0,KPI,User_70,2025-03-04 05:36:00,data_modification,JP,JP,1382.0,26.0,12.0,880.0,33.99450468177798,6907.0,2.5500000000000003,Low,No Action Needed | Limit Data Transfer,Green,Real
ISSUE-0397,KEY-0397,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Medium,In Progress,Reporter 2,Assignee 8,2024-09-05,2025-04-21 01:51:53.295556,228.0,71.87,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,1483040.0,KRI,User_87,2024-09-05 07:55:00,data_modification,USA,USA,1151.0,26.0,3.0,2342.5,39.881658325141785,7971.0,18.474000000000004,Critical,Isolate Affected System & Restrict User Access | Limit Data Transfer,Orange-Red,Real
ISSUE-0398,KEY-0398,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Resolved,Reporter 9,Assignee 17,2023-05-16,2023-05-21 00:00:00.000000,5.0,19.66,Critical,C-Suite Executives,Steps to resolve Incomplete Risk Management Framework,1983203.0,KPI,User_29,2023-05-16 06:04:00,login,USA,USA,1195.0,26.0,17.0,17447.0,20.094842048142297,5656.0,9.132,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0399,KEY-0399,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,Closed,Reporter 3,Assignee 10,2023-10-05,2023-10-13 00:00:00.000000,8.0,30.99,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,1010565.0,KRI,User_37,2023-10-05 03:07:00,login,DE,USA,1625.0,26.0,9.0,1100.0,32.43251124496661,6747.0,10.498,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0400,KEY-0400,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Resolved,Reporter 6,Assignee 15,2025-03-08,2025-03-09 00:00:00.000000,1.0,19.23,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,2052450.0,KPI,User_85,2025-03-08 10:52:00,file_access,CN,CN,2332.0,27.0,15.0,837.5,77.27290428452389,4599.0,7.745999999999999,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0401,KEY-0401,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,In Progress,Reporter 9,Assignee 5,2023-06-24,2025-04-21 01:51:53.295556,667.0,2.0,Low,Operations,Steps to resolve Delayed Patching of Known Vulnerabilities,1162802.0,KPI,User_71,2023-06-24 02:57:00,data_modification,EU,EU,1737.0,28.0,21.0,1217.0,54.621122780240086,6127.0,4.249999999999999,Medium,Schedule Investigation | Limit Data Transfer,Yellow-Orange,Real
ISSUE-0402,KEY-0402,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,Closed,Reporter 10,Assignee 4,2024-11-18,2024-11-23 00:00:00.000000,5.0,29.64,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2292555.0,KPI,User_72,2024-11-18 11:32:00,data_modification,FR,Unknown,1809.0,26.0,12.0,3415.0,78.4002278724814,5680.0,10.028,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0403,KEY-0403,Insufficient Access Control Measures,1,Control Effectiveness,High,Open,Reporter 3,Assignee 13,2025-01-21,2025-04-21 01:51:53.295556,90.0,26.75,Critical,IT,Steps to resolve Insufficient Access Control Measures,1304126.0,KPI,User_56,2025-01-21 06:13:00,file_access,UK,UK,900.0,26.0,13.0,551.0,36.141174110433205,5545.0,10.25,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0404,KEY-0404,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Medium,Closed,Reporter 3,Assignee 20,2024-12-09,2024-12-19 00:00:00.000000,10.0,63.5,Critical,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,237285.0,KRI,User_89,2024-12-09 23:10:00,file_access,UK,UK,1612.0,26.0,15.0,1072.5,27.60553095151101,7231.0,17.000000000000004,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0405,KEY-0405,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,Closed,Reporter 1,Assignee 3,2024-06-13,2024-06-14 00:00:00.000000,1.0,31.36,Critical,Legal,Steps to resolve Detected Malware Infiltration in Internal Systems,508472.5,KRI,User_69,2024-06-13 03:42:00,login,AU,AU,900.0,26.0,9.0,1060.0,28.27862798146046,3808.0,10.021999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0406,KEY-0406,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,Resolved,Reporter 2,Assignee 9,2024-03-16,2024-03-26 00:00:00.000000,10.0,33.31,Critical,Legal,Steps to resolve Missing or Inaccurate Asset Records,1999517.0,KPI,User_50,2024-03-16 00:00:00,login,Unknown,IN,2050.0,26.0,10.0,2543.0,73.66885416275409,6206.0,11.862,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0407,KEY-0407,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Closed,Reporter 5,Assignee 12,2023-12-01,2023-12-02 00:00:00.000000,1.0,77.81,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,327752.0,KPI,User_65,2023-12-01 06:39:00,data_modification,EU,FR,1705.0,26.0,13.0,2447.0,56.05994790761398,6607.0,20.712000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0408,KEY-0408,Weak Authentication Protocols,1,Access Control,High,Resolved,Reporter 5,Assignee 2,2025-03-02,2025-03-04 00:00:00.000000,2.0,59.71,Critical,Finance,Steps to resolve Weak Authentication Protocols,1823003.0,KPI,User_56,2025-03-02 23:00:00,data_modification,Unknown,Unknown,1856.0,46.0,6.0,2408.0,58.30727490401288,7321.0,16.592000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0409,KEY-0409,Inconsistent Review of Security Policies,1,Management Oversight,Low,In Progress,Reporter 9,Assignee 3,2025-04-11,2025-04-21 01:51:53.295556,10.0,74.92,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,917975.0,KPI,User_36,2025-04-11 08:44:00,login,USA,FR,2289.0,26.0,12.0,1442.5,20.415958241797693,5928.0,18.384,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0410,KEY-0410,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,Resolved,Reporter 8,Assignee 2,2023-11-25,2023-11-29 00:00:00.000000,4.0,71.45,Critical,Sales,Steps to resolve Insufficient Coverage in Annual Risk Assessment,2371727.0,KPI,User_25,2023-11-25 09:42:00,file_access,JP,JP,2599.0,26.0,10.0,4118.0,26.94229484590153,5179.0,19.49,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0411,KEY-0411,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Closed,Reporter 4,Assignee 11,2024-02-12,2024-02-16 00:00:00.000000,4.0,46.63,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,157720.0,KPI,User_54,2024-02-12 00:01:00,login,FR,FR,900.0,30.0,6.0,3317.5,53.69143248673608,6259.0,13.426,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0412,KEY-0412,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Open,Reporter 8,Assignee 4,2023-05-08,2025-04-21 01:51:53.295556,714.0,51.6,Critical,C-Suite Executives,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2948960.0,KPI,User_8,2023-05-08 15:57:00,login,Unknown,Unknown,900.0,26.0,13.0,2387.0,33.21945339123759,5887.0,15.22,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0413,KEY-0413,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Resolved,Reporter 1,Assignee 5,2024-08-01,2024-08-04 00:00:00.000000,3.0,92.23,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,1480135.0,KRI,User_75,2024-08-01 17:38:00,data_modification,CANADA,CANADA,1347.0,26.0,6.0,1240.0,49.29881504703227,5213.0,21.446,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0414,KEY-0414,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 10,Assignee 8,2024-03-21,2024-03-29 00:00:00.000000,8.0,27.58,Critical,Sales,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,425654.0,KPI,User_61,2024-03-21 21:35:00,login,CANADA,CANADA,1885.0,28.0,6.0,1553.0,71.42278994781745,7032.0,11.216,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0415,KEY-0415,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 7,Assignee 2,2024-05-13,2025-04-21 01:51:53.295556,343.0,37.91,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,2108609.0,KRI,User_60,2024-05-13 20:21:00,file_access,FR,FR,1810.0,28.0,6.0,2939.0,29.481531183597085,5939.0,12.982,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0416,KEY-0416,Insufficient Access Control Measures,1,Control Effectiveness,High,Closed,Reporter 5,Assignee 18,2024-11-22,2024-12-01 00:00:00.000000,9.0,55.17,Critical,C-Suite Executives,Steps to resolve Insufficient Access Control Measures,867995.0,KPI,User_33,2024-11-22 04:59:00,data_modification,EU,EU,1624.0,26.0,17.0,2012.0,28.191070576012585,5098.0,15.934,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0417,KEY-0417,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Open,Reporter 2,Assignee 16,2024-06-01,2025-04-21 01:51:53.295556,324.0,48.17,Critical,Sales,Steps to resolve Access by Unauthorized Personnel Detected,150047.5,KRI,User_32,2024-06-01 17:51:00,login,Unknown,EU,900.0,26.0,6.0,2625.0,66.39487381826928,3290.0,13.184,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0418,KEY-0418,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Resolved,Reporter 2,Assignee 10,2025-03-22,2025-03-27 00:00:00.000000,5.0,22.12,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,1235789.0,KRI,User_34,2025-03-22 06:44:00,login,UK,UK,1208.0,28.0,10.0,2957.0,71.72792659769017,4989.0,9.774,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0419,KEY-0419,Inconsistent Review of Security Policies,1,Management Oversight,Low,In Progress,Reporter 1,Assignee 1,2023-06-01,2025-04-21 01:51:53.295556,690.0,46.86,Critical,Operations,Steps to resolve Inconsistent Review of Security Policies,876670.0,KPI,User_53,2023-06-01 18:12:00,login,DE,DE,900.0,26.0,12.0,4145.0,55.92897241118891,5712.0,12.771999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0420,KEY-0420,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,In Progress,Reporter 10,Assignee 12,2023-09-27,2025-04-21 01:51:53.295556,572.0,55.16,Critical,HR,Steps to resolve Detected Malware Infiltration in Internal Systems,937772.0,KRI,User_32,2023-09-27 18:57:00,file_access,CN,CN,1367.0,26.0,13.0,1403.0,30.93205482880883,4358.0,16.432,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0421,KEY-0421,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,In Progress,Reporter 8,Assignee 15,2023-01-11,2025-04-21 01:51:53.295556,831.0,108.07,Critical,Sales,Steps to resolve Access by Unauthorized Personnel Detected,2231022.5,KRI,User_83,2023-01-11 00:06:00,file_access,CN,CN,900.0,26.0,12.0,692.5,32.50128246698606,3452.0,25.014,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0422,KEY-0422,Weak Authentication Protocols,1,Access Control,High,Open,Reporter 1,Assignee 20,2025-02-26,2025-04-21 01:51:53.295556,54.0,33.26,Critical,IT,Steps to resolve Weak Authentication Protocols,579131.0,KPI,User_49,2025-02-26 01:58:00,data_modification,IN,IN,900.0,26.0,21.0,1058.0,44.636793845148375,3713.0,11.552,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0423,KEY-0423,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,Closed,Reporter 1,Assignee 1,2024-03-05,2024-03-11 00:00:00.000000,6.0,19.08,Critical,IT,Steps to resolve Non-Compliance with Data Protection Regulations,2168069.0,KRI,User_33,2024-03-05 23:02:00,file_access,CANADA,CANADA,900.0,26.0,13.0,830.0,27.38674674982015,7953.0,8.665999999999999,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0424,KEY-0424,Insufficient Access Control Measures,1,Control Effectiveness,Critical,In Progress,Reporter 8,Assignee 15,2024-01-13,2025-04-21 01:51:53.295556,464.0,2.63,Low,Finance,Steps to resolve Insufficient Access Control Measures,1478609.0,KPI,User_77,2024-01-13 16:27:00,data_modification,UK,DE,943.0,35.0,3.0,3308.0,46.73062249396822,7688.0,4.675999999999999,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange,Real
ISSUE-0425,KEY-0425,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 9,Assignee 12,2024-12-31,2025-01-06 00:00:00.000000,6.0,16.26,Critical,HR,Steps to resolve Incomplete Risk Management Framework,308062.5,KPI,User_100,2024-12-31 08:48:00,file_access,CN,CN,900.0,26.0,12.0,2120.0,36.453513005110494,3488.0,7.202000000000001,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0426,KEY-0426,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Resolved,Reporter 8,Assignee 4,2025-04-04,2025-04-14 00:00:00.000000,10.0,71.1,Critical,C-Suite Executives,Steps to resolve Non-Compliance with Data Protection Regulations,2773565.0,KRI,User_18,2025-04-04 21:33:00,login,JP,JP,900.0,26.0,21.0,4103.0,76.9380851284756,6143.0,19.92,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0427,KEY-0427,Outdated Operating System Components,1,System Vulnerability,Medium,In Progress,Reporter 9,Assignee 12,2023-07-23,2025-04-21 01:51:53.295556,638.0,48.82,Critical,C-Suite Executives,Steps to resolve Outdated Operating System Components,1994010.0,KPI,User_51,2023-07-23 04:28:00,file_access,IN,IN,900.0,26.0,15.0,5477.5,31.792332492476454,4169.0,13.914,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0428,KEY-0428,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,In Progress,Reporter 8,Assignee 19,2025-02-22,2025-04-21 01:51:53.295556,58.0,58.28,Critical,External Contractors,Steps to resolve Unauthorized Access Leading to Data Exposure,1515620.0,KRI,User_51,2025-02-22 02:01:00,file_access,UK,UK,900.0,26.0,15.0,987.5,54.45851270195297,6640.0,15.956,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0429,KEY-0429,Weak Authentication Protocols,1,Access Control,Medium,In Progress,Reporter 2,Assignee 7,2023-10-03,2025-04-21 01:51:53.295556,566.0,29.98,Critical,Sales,Steps to resolve Weak Authentication Protocols,1463140.0,KPI,User_92,2023-10-03 18:59:00,login,JP,JP,900.0,26.0,9.0,1290.0,48.801287990410266,3270.0,10.146,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0430,KEY-0430,Inconsistent Review of Security Policies,1,Management Oversight,High,Resolved,Reporter 1,Assignee 9,2024-06-11,2024-06-17 00:00:00.000000,6.0,53.44,Critical,Operations,Steps to resolve Inconsistent Review of Security Policies,1495472.0,KPI,User_3,2024-06-11 02:12:00,login,JP,JP,907.0,31.0,6.0,5600.0,72.38478378993386,5801.0,15.538,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0431,KEY-0431,Weak Authentication Protocols,1,Access Control,Medium,In Progress,Reporter 3,Assignee 6,2023-05-17,2025-04-21 01:51:53.295556,705.0,42.16,Critical,HR,Steps to resolve Weak Authentication Protocols,2128260.0,KPI,User_9,2023-05-17 15:45:00,file_access,AU,AU,900.0,26.0,18.0,2647.5,31.84411244311636,7036.0,12.732,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0432,KEY-0432,Supplier Security Compliance Gaps,1,Procurement Security,Low,Open,Reporter 4,Assignee 1,2025-04-13,2025-04-21 01:51:53.295556,8.0,51.09,Critical,Finance,Steps to resolve Supplier Security Compliance Gaps,1126757.5,KPI,User_31,2025-04-13 03:06:00,file_access,FR,FR,900.0,26.0,15.0,1735.0,62.74028584215564,6496.0,13.918,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0433,KEY-0433,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,Open,Reporter 5,Assignee 7,2023-12-27,2025-04-21 01:51:53.295556,481.0,67.83,Critical,HR,Steps to resolve Missing or Inaccurate Asset Records,2137447.5,KPI,User_11,2023-12-27 23:24:00,data_modification,USA,USA,1268.0,26.0,9.0,5897.5,47.84593875311076,4515.0,17.716,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0434,KEY-0434,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Closed,Reporter 1,Assignee 15,2025-03-05,2025-03-14 00:00:00.000000,9.0,49.02,Critical,IT,Steps to resolve Insufficient Access Control Measures,324555.0,KPI,User_24,2025-03-05 04:37:00,file_access,CANADA,CANADA,900.0,26.0,9.0,957.5,27.55490584968514,5342.0,13.954,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0435,KEY-0435,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,In Progress,Reporter 1,Assignee 8,2025-04-10,2025-04-21 01:51:53.295556,11.0,51.01,Critical,External Contractors,Steps to resolve Delayed Patching of Known Vulnerabilities,1520765.0,KPI,User_68,2025-04-10 16:02:00,file_access,CN,CN,900.0,26.0,10.0,4622.0,30.64363319904052,5213.0,15.102,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0436,KEY-0436,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,In Progress,Reporter 9,Assignee 7,2024-06-16,2025-04-21 01:51:53.295556,309.0,27.14,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack,623336.0,KRI,User_69,2024-06-16 06:29:00,file_access,DE,DE,900.0,26.0,13.0,10070.0,55.816708068642974,6112.0,10.978,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0437,KEY-0437,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,In Progress,Reporter 9,Assignee 16,2024-02-07,2025-04-21 01:51:53.295556,439.0,55.35,Critical,Sales,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1955426.0,KPI,User_100,2024-02-07 03:02:00,login,JP,IN,1660.0,28.0,10.0,4325.0,45.13772383694191,6965.0,16.12,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0438,KEY-0438,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,In Progress,Reporter 5,Assignee 12,2024-08-05,2025-04-21 01:51:53.295556,259.0,53.94,Critical,Sales,Steps to resolve Non-Compliance with Data Protection Regulations,1884569.0,KRI,User_85,2024-08-05 19:28:00,data_modification,UK,UK,3562.0,28.0,17.0,3140.0,31.64934783566896,6632.0,15.838,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
